All-Genes	Accession-1	Names
cybB	b1418	cybB // b1418 // ECK1410
cybC	b4236	cybC // cytochrome b562 // b4236 // ECK4231
cycA	b4208	cycA // ytfD // dagA // b4208 // ECK4204
cydA	b0733	cydA // cyd-1 // b0733 // ECK0721
cydB	b0734	cydB // cyd-2 // b0734 // ECK0722
cydC	b0886	cydC // mdrA // mdrH // surB // ycaB // b0886 // ECK0877
cydD	b0887	cydD // htrD // b0887 // ECK0878
cydH	b4602	cydH // ynhF // cydY // b4602 // ECK4411
cydX	b4515	cydX // ybgT // b4515 // ECK0723
cynR	b0338	cynR // b0338 // ECK0335
cynS	b0340	cynS // cnt // cyaN // b0340 // ECK0337
cynT	b0339	cynT // b0339 // ECK0336
cynX	b0341	cynX // b0341 // ECK0338
cyoA	b0432	cyoA // b0432 // ECK0426
cyoB	b0431	cyoB // b0431 // ECK0425
cyoC	b0430	cyoC // b0430 // ECK0424
cyoD	b0429	cyoD // b0429 // ECK0423
cyoE	b0428	cyoE // b0428 // ECK0422
cysA	b2422	cysA // b2422 // ECK2417
cysB	b1275	cysB // b1275 // ECK1269
cysC	b2750	cysC // b2750 // ECK2745
cysD	b2752	cysD // b2752 // ECK2747
cysE	b3607	cysE // b3607 // ECK3597
cysG	b3368	cysG // b3368 // ECK3356
cysH	b2762	cysH // b2762 // ECK2757
cysI	b2763	cysI // b2763 // ECK2758
cysJ	b2764	cysJ // b2764 // ECK2759
cysK	b2414	cysK // ssi5 // b2414 // ECK2409
cysM	b2421	cysM // b2421 // ECK2416
cysN	b2751	cysN // b2751 // ECK2746
cysP	b2425	cysP // b2425 // ECK2420
cysQ	b4214	cysQ // amt // amtA // b4214 // ECK4210
cysS	b0526	cysS // syc // b0526 // ECK0519
cysT	b1910	cysT // b1910 // ECK1909
cysU	b2424	cysU // cysT // b2424 // ECK2419
cysW	b2423	cysW // b2423 // ECK2418
cysZ	b2413	cysZ // b2413 // ECK2408
cytR	b3934	cytR // b3934 // ECK3926
cyuA	b4470	cyuA // b3109 // yhaN // b3108 // yhaM // b4470 // ECK3099
cyuP	b3110	cyuP // dlsT // yhaO // b3110 // ECK3100
dacA	b0632	dacA // pfv // b0632 // ECK0625
dacB	b3182	dacB // b3182 // ECK3171
dacC	b0839	dacC // b0839 // ECK0829
dacD	b2010	dacD // phsE // yeeC // b2010 // ECK2004
dadA	b1189	dadA // dadR // b1189 // ECK1177
dadX	b1190	dadX // alnA // alnB // dadB // b1190 // ECK1178
dam	b3387	dam // b3387 // ECK3374
damX	b3388	damX // yhfB // b3388 // ECK3375
dapA	b2478	dapA // b2478 // ECK2474
dapB	b0031	dapB // b0031 // ECK0032
dapD	b0166	dapD // ssa // b0166 // ECK0164
dapE	b2472	dapE // msgB // b2472 // ECK2467
dapF	b3809	dapF // b3809 // ECK3804
dauA	b1206	dauA // ychM // b1206 // ECK1194
dbpA	b1343	dbpA // rhlC // b1343 // ECK1340
dcd	b2065	dcd // dus // paxA // b2065 // ECK2059
dcm	b1961	dcm // mec // b1961 // ECK1959
dcp	b1538	dcp // b1538 // ECK1531
dcrB	b3472	UNCLASSIFIED
dctA	b3528	dctA // b3528 // ECK3513
dctR	b3507	dctR // yhiF // b3507 // ECK3491
dcuA	b4138	dcuA // genA // b4138 // ECK4132
dcuB	b4123	dcuB // genF // b4123 // ECK4116
dcuC	b0621	dcuC // b0621 // ECK0614
dcuD	b3227	dcuD // yhcL // b3227 // ECK3216
dcuR	b4124	dcuR // yjdG // b4124 // ECK4117
dcuS	b4125	dcuS // yjdH // b4125 // ECK4118
dcyD	b1919	dcyD // yedO // b1919 // ECK1918
ddlA	b0381	ddlA // b0381 // ECK0376
ddlB	b0092	ddlB // ddl // b0092 // ECK0093
ddpA	b1487	ddpA // yddS // b1487 // ECK1481
ddpB	b1486	ddpB // yddR // b1486 // ECK1480
ddpC	b1485	ddpC // yddQ // b1485 // ECK1479
ddpD	b1484	ddpD // yddP // b1484 // ECK1478
ddpF	b1483	ddpF // yddO // b1483 // ECK1477
ddpX	b1488	ddpX // vanX // yddT // b1488 // ECK1482
deaD	b3162	deaD // csdA // mssB // rhlD // b3162 // ECK3150
decR	b0447	decR // ybaO // cyuR // b0447 // ECK0441
dedA	b2317	dedA // b2317 // ECK2311
dedD	b2314	dedD // b2314 // ECK2308
def	b3287	def // fms // b3287 // ECK3273
degP	b0161	degP // htrA // ptd // b0161 // ECK0160
degQ	b3234	degQ // hhoA // b3234 // ECK3223
degS	b3235	degS // hhoB // htrH // b3235 // ECK3224
deoA	b4382	deoA // TP // tpp // ttg // b4382 // ECK4374
deoB	b4383	deoB // tlr // drm // thyR // b4383 // ECK4375
deoC	b4381	deoC // tlr // dra // thyR // b4381 // ECK4373
deoD	b4384	deoD // pup // b4384 // ECK4376
deoR	b0840	deoR // nucR // b0840 // ECK0830
der	b2511	der // engA // yfgK // b2511 // ECK2507
dfp	b3639	dfp // coaBC // b3639 // ECK3629
dgcC	b0385	dgcC // yaiC // adrA // b0385 // ECK0380
dgcE	b2067	dgcE // yegE // b2067 // ECK2061
dgcF	b1522	UNCLASSIFIED
dgcI	b0834	UNCLASSIFIED
dgcJ	b1786	dgcJ // yeaJ // b1786 // ECK1784
dgcM	b1341	dgcM // ydaM // b1341 // ECK1338
dgcN	b2604	dgcN // yfiN // b2604 // ECK2601
dgcP	b1794	UNCLASSIFIED
dgcQ	b1956	dgcQ // yedQ // b1956 // ECK1954
dgcT	b1025	dgcT // ycdT // b1025 // ECK1015
dgcZ	b1535	dgcZ // ydeG // ydeH // b1535 // ECK1528
dgd		UNCLASSIFIED
dgkA	b4042	dgkA // b4042 // ECK4034
dgoA	b4477	dgoA // b3692 // yidU // b4477 // ECK3685
dgoD	b4478	dgoD // b3692 // yidU // b4478 // ECK3684
dgoK	b3693	dgoK // yidV // b3693 // ECK3686
dgoR	b4479	dgoR // yidW // b3695 // b3694 // b4479 // ECK3687
dgoT	b3691	dgoT // yidT // b3691 // ECK3683
dgt	b0160	dgt // optA // b0160 // ECK0159
dhaK	b1200	dhaK // ycgT // dhaK1 // b1200 // ECK1188
dhaL	b1199	dhaL // ysgS // ycgS // dhaK2 // b1199 // ECK1187
dhaM	b1198	dhaM // ycgC // dhaH // ptsD // b1198 // ECK1186
dhaR	b1201	dhaR // ycgU // b1201 // ECK1189
diaA	b3149	diaA // yraO // b3149 // ECK3137
dicA	b1570	dicA // ftsT // b1570 // ECK1564
dicB	b1575	dicB // ftsT // b1575 // ECK1569
dicC	b1569	dicC // ftsT // b1569 // ECK1563
dicD	b4135	dicD // yjdC // cutA3 // b4135 // ECK4129
dicF	b1574	dicF // b1574 // ECK1568
digH	b1491	digH // yddW // b1491 // ECK1485
dinB	b0231	dinB // dinP // b0231 // ECK0232
dinD	b3645	dinD // pcsA // yicD // b3645 // ECK3635
dinF	b4044	dinF // b4044 // ECK4036
dinG	b0799	dinG // rarB // b0799 // ECK0788
dinI	b1061	dinI // b1061 // ECK1046
dinJ	b0226	dinJ // sosA // b0226 // ECK0227
dinQ	b4613	dinQ // b4613 // ECK4422
djlA	b0055	djlA // yabH // b0055 // ECK0056
djlB	b0646	djlB // ybeS // b0646 // ECK0639
djlC	b0649	djlC // hscD // ybeV // hsc56 // b0649 // ECK0642
dkgA	b3012	dkgA // yqhE // b3012 // ECK3004
dkgB	b0207	dkgB // yafB // b0207 // ECK0207
dksA	b0145	dksA // msmA // b0145 // ECK0144
dld	b2133	dld // ldh // b2133 // ECK2126
dmlA	b1800	dmlA // ttuC // yeaU // b1800 // ECK1798
dmlR	b1799	dmlR // yeaT // b1799 // ECK1797
dmsA	b0894	dmsA // b0894 // ECK0885
dmsB	b0895	dmsB // b0895 // ECK0886
dmsC	b0896	dmsC // b0896 // ECK0887
dmsD	b1591	dmsD // ynfI // b1591 // ECK1586
dnaA	b3702	dnaA // b3702 // ECK3694
dnaB	b4052	dnaB // groP // grpA // grpD // b4052 // ECK4044
dnaC	b4361	dnaC // dnaD // b4361 // ECK4351
dnaE	b0184	dnaE // sdgC // polC // b0184 // ECK0183
dnaG	b3066	dnaG // dnaP // parB // sdgA // b3066 // ECK3056
dnaJ	b0015	dnaJ // groP // grpC // b0015 // ECK0015
dnaK	b0014	dnaK // groPF // groPC // seg // grpF // grpC // groPAB // b0014 // ECK0014
dnaN	b3701	dnaN // b3701 // ECK3693
dnaQ	b0215	dnaQ // mutD // b0215 // ECK0215
dnaT	b4362	dnaT // b4362 // ECK4352
dnaX	b0470	dnaX // dnaZ // b0470 // ECK0464
dolP	b3150	dolP // ecfH // yraP // b3150 // ECK3138
dosC	b1490	dosC // yddV // dgcO // b1490 // ECK1484
dosP	b1489	dosP // yddU // dos // pdeO // b1489 // ECK1483
dpaA	b0224	UNCLASSIFIED
dpiA	b0620	dpiA // citB // criR // mpdA // b0620 // ECK0613
dpiB	b0619	dpiB // ybeP // mpdB // citA // b0619 // ECK0612
dppA	b3544	dppA // alu // dpp // fpp // b3544 // ECK3531
dppB	b3543	dppB // b3543 // ECK3530
dppC	b3542	dppC // b3542 // ECK3529
dppD	b3541	dppD // b3541 // ECK3528
dppF	b3540	dppF // dppE // b3540 // ECK3527
dps	b0812	dps // pexB // vtm // b0812 // ECK0801
drpB	b1963	drpB // yedR // b1963 // ECK1961
dsbA	b3860	dsbA // dsf // iarA // ppfA // b3860 // ECK3852
dsbB	b1185	dsbB // ycgA // roxB // dsbX // iarB // rosB // b1185 // ECK1173
dsbC	b2893	dsbC // xprA // b2893 // ECK2888
dsbD	b4136	dsbD // htrI // cutA2 // cycZ // dipZ // b4136 // ECK4130
dsbG	b0604	dsbG // ybdP // b0604 // ECK0598
dsdA	b2366	dsdA // b2366 // ECK2362
dsdC	b2364	dsdC // b2364 // ECK2360
dsdX	b2365	dsdX // yfdD // yfdA // dsdC // b2365 // ECK2361
dsrA	b1954	dsrA // b1954 // ECK1952
dsrB	b1952	dsrB // b1952 // ECK1950
dtd	b3887	dtd // yihZ // b3887 // ECK3880
dtpA	b1634	dtpA // ydgR // tppB // b1634 // ECK1630
dtpB	b3496	dtpB // yhiP // b3496 // ECK3481
dtpC	b4130	dtpC // yjdL // b4130 // ECK4124
dtpD	b0709	dtpD // ybgH // b0709 // ECK0698
dusA	b4049	dusA // yjbN // b4049 // ECK4041
dusB	b3260	dusB // yhdG // b3260 // ECK3247
dusC	b2140	dusC // yohI // b2140 // ECK2133
dut	b3640	dut // dnaS // sof // b3640 // ECK3630
dxr	b0173	dxr // yaeM // ispC // b0173 // ECK0172
dxs	b0420	dxs // yajP // b0420 // ECK0414
eaeH	b0297	eaeH // b0297 // ECK0297
eamA	b1533	eamA // ydeD // b1533 // ECK1526
eamB	b2578	eamB // yfiK // b2578 // ECK2576
ebgA	b3076	ebgA // b3076 // ECK3066
ebgC	b3077	ebgC // b3077 // ECK3067
ebgR	b3075	ebgR // b3075 // ECK3065
ecnA	b4410	ecnA // b4410 // ECK4142
ecnB	b4411	ecnB // yjeU // b4411 // ECK4143
eco	b2209	eco // eti // b2209 // ECK2201
ecpA	b0293	ecpA // yagZ // matB // b0293 // ECK0292
ecpB	b0292	ecpB // yagY // matC // b0292 // ECK0291
ecpC	b0291	UNCLASSIFIED
ecpD	b0290	ecpD // yagW // matE // b0290 // ECK0289
ecpE	b0289	ecpE // yagV // matF // b0289 // ECK0288
eda	b1850	eda // hga // kdgA // kga // b1850 // ECK1851
edd	b1851	edd // b1851 // ECK1852
efeB	b1019	UNCLASSIFIED
efeO	b1018	UNCLASSIFIED
efeU	b4490	efeU // ycdN // b1016 // b1017 // b4490 // ECK1007
efp	b4147	efp // b4147 // ECK4141
elaA	b2267	elaA // yfbC // b2267 // ECK2261
elaB	b2266	UNCLASSIFIED
elaD	b2269	elaD // b2269 // ECK2263
elbB	b3209	UNCLASSIFIED
elfA	b0938	elfA // ycbQ // b0938 // ECK0929
elfC	b0940	UNCLASSIFIED
elfD	b0939	elfD // ycbR // b0939 // ECK0930
elfG	b0941	elfG // ycbT // b0941 // ECK0932
elyC	b0920	elyC // ycbC // b0920 // ECK0911
emrA	b2685	emrA // b2685 // ECK2679
emrB	b2686	emrB // b2686 // ECK2680
emrD	b3673	emrD // yicQ // b3673 // ECK3664
emrE	b0543	emrE // eb // mvrC // b0543 // ECK0534
emrK	b2368	emrK // b2368 // ECK2364
emrY	b2367	emrY // b2367 // ECK2363
emtA	b1193	emtA // ycgP // mltE // sltZ // b1193 // ECK1181
endA	b2945	endA // b2945 // ECK2940
eno	b2779	eno // b2779 // ECK2773
entA	b0596	entA // b0596 // ECK0589
entB	b0595	entB // entG // b0595 // ECK0588
entC	b0593	entC // fepF // b0593 // ECK0586
entD	b0583	entD // b0583 // ECK0575
entE	b0594	entE // b0594 // ECK0587
entF	b0586	entF // b0586 // ECK0579
entH	b0597	entH // ybdB // b0597 // ECK0590
entS	b0591	entS // ybdA // b0591 // ECK0584
envC	b3613	envC // yibP // slm11 // b3613 // ECK3603
envR	b3264	envR // acrS // yhdK // b3264 // ECK3251
envY	b0566	envY // b0566 // ECK0558
envZ	b3404	envZ // tpo // perA // ompB // b3404 // ECK3391
epd	b2927	epd // gapB // gap2 // b2927 // ECK2923
epmA	b4155	epmA // genX // poxA // yjeA // b4155 // ECK4151
epmB	b4146	epmB // yjeK // b4146 // ECK4140
epmC	b2326	epmC // yfcM // b2326 // ECK2320
eptA	b4114	eptA // yjdB // b4114 // ECK4107
eptB	b3546	eptB // yhjW // b3546 // ECK3533
eptC	b3955	eptC // yijP // b3955 // ECK3946
era	b2566	era // rbaA // sdgE // b2566 // ECK2564
erpA	b0156	erpA // yadR // b0156 // ECK0155
esrE	b4707	UNCLASSIFIED
essD	b0554	essD // vlyS // ybcR // b0554 // ECK0545
essQ	b1556	essQ // ydfS // b1556 // ECK1550
etk	b0981	etk // yccC // b0981 // ECK0972
etp	b0982	etp // yccY // b0982 // ECK0973
ettA	b4391	ettA // yjjK // b4391 // ECK4383
eutA	b2451	eutA // yffT // b2451 // ECK2446
eutB	b2441	eutB // b2441 // ECK2436
eutC	b2440	eutC // b2440 // ECK2435
eutD	b2458	eutD // ypfA // eutI // b2458 // ECK2453
eutE	b2455	eutE // yffX // b2455 // ECK2450
eutG	b2453	eutG // yffV // b2453 // ECK2448
eutH	b2452	eutH // yffU // b2452 // ECK2447
eutJ	b2454	eutJ // yffW // b2454 // ECK2449
eutK	b2438	eutK // yffI // b2438 // ECK2433
eutL	b2439	eutL // yffJ // b2439 // ECK2434
eutM	b2457	eutM // yffZ // cchA // b2457 // ECK2452
eutN	b2456	UNCLASSIFIED
eutP	b2461	eutP // ypfD // b2461 // ECK2456
eutQ	b2460	eutQ // ypfC // b2460 // ECK2455
eutR	b2437	eutR // yfeG // b2437 // ECK2432
eutS	b2462	eutS // ypfE // b2462 // ECK2457
eutT	b2459	eutT // ypfB // b2459 // ECK2454
evgA	b2369	evgA // b2369 // ECK2365
evgL	b4781	evgL // b4781 // ECK4638
evgS	b2370	evgS // b2370 // ECK2366
exbB	b3006	exbB // b3006 // ECK2999
exbD	b3005	exbD // b3005 // ECK2998
exoD	b0539	exoD // ybcC // b0539 // ECK0531
exoX	b1844	exoX // yobC // b1844 // ECK1845
exuR	b3094	exuR // b3094 // ECK3085
exuT	b3093	exuT // b3093 // ECK3084
eyeA	b4690	eyeA // b4690 // ECK4506
fabA	b0954	fabA // b0954 // ECK0945
fabB	b2323	fabB // fabC // b2323 // ECK2317
fabD	b1092	fabD // tfpA // b1092 // ECK1078
fabF	b1095	fabF // vtr // cvc // fabJ // vtrB // b1095 // ECK1081
fabG	b1093	fabG // b1093 // ECK1079
fabH	b1091	fabH // b1091 // ECK1077
fabI	b1288	fabI // envM // gts // qmeA // b1288 // ECK1283
fabR	b3963	fabR // yijC // b3963 // ECK3955
fabY	b3888	fabY // yiiD // b3888 // ECK3881
fabZ	b0180	fabZ // sfhC21 // sabA1 // sefA // yaeA // b0180 // ECK0179
fadA	b3845	fadA // oldA // b3845 // ECK3837
fadB	b3846	fadB // oldB // b3846 // ECK3838
fadD	b1805	fadD // oldD // b1805 // ECK1803
fadE	b0221	fadE // yafH // b0221 // ECK0222
fadH	b3081	fadH // ygjL // b3081 // ECK3071
fadI	b2342	fadI // yfcY // b2342 // ECK2336
fadJ	b2341	fadJ // yfcX // b2341 // ECK2335
fadK	b1701	fadK // ydiD // b1701 // ECK1699
fadL	b2344	fadL // ttr // b2344 // ECK2338
fadM	b0443	fadM // ybaW // tesC // b0443 // ECK0437
fadR	b1187	fadR // dec // ole // oleR // thdB // b1187 // ECK1175
fau	b2912	fau // ygfA // b2912 // ECK2907
fbaA	b2925	fbaA // ald // fba // fda // b2925 // ECK2921
fbaB	b2097	fbaB // dhnA // b2097 // ECK2090
fbp	b4232	fbp // fdp // b4232 // ECK4227
fcl	b2052	fcl // wcaG // yefB // b2052 // ECK2046
fdhD	b3895	fdhD // b3895 // ECK3888
fdhE	b3891	fdhE // b3891 // ECK3884
fdhF	b4079	fdhF // chlF // b4079 // ECK4072
fdnG	b1474	fdnG // b1474 // ECK1468
fdnH	b1475	fdnH // b1475 // ECK1469
fdnI	b1476	fdnI // b1476 // ECK1470
fdoG	b3894	fdoG // b3894 // ECK3887
fdoH	b3893	fdoH // b3893 // ECK3886
fdoI	b3892	fdoI // b3892 // ECK3885
fdrA	b0518	UNCLASSIFIED
fdx	b2525	fdx // b2525 // ECK2522
feaB	b1385	feaB // ydbG // padA // b1385 // ECK1382
feaR	b1384	feaR // ydbM // maoX // maoB // b1384 // ECK1381
fecA	b4291	fecA // b4291 // ECK4281
fecB	b4290	fecB // b4290 // ECK4280
fecC	b4289	fecC // b4289 // ECK4279
fecD	b4288	fecD // b4288 // ECK4278
fecE	b4287	fecE // b4287 // ECK4277
fecI	b4293	fecI // b4293 // ECK4283
fecR	b4292	fecR // b4292 // ECK4282
feoA	b3408	feoA // b3408 // ECK3395
feoB	b3409	feoB // b3409 // ECK3396
feoC	b3410	feoC // yhgG // b3410 // ECK3397
fepA	b0584	fepA // cbr // cbt // fep // feuB // b0584 // ECK0576
fepB	b0592	fepB // b0592 // ECK0585
fepC	b0588	fepC // b0588 // ECK0581
fepD	b0590	fepD // b0590 // ECK0583
fepE	b0587	fepE // b0587 // ECK0580
fepG	b0589	fepG // b0589 // ECK0582
fes	b0585	fes // b0585 // ECK0577
fetA	b0490	fetA // ybbL // b0490 // ECK0484
fetB	b0491	fetB // ybbM // b0491 // ECK0485
ffh	b2610	ffh // b2610 // ECK2607
ffs	b0455	ffs // b0455 // ECK0449
fhlA	b2731	fhlA // fhl // b2731 // ECK2726
fhuA	b0150	fhuA // T1 // T5rec // tonA // b0150 // ECK0149
fhuB	b0153	fhuB // b0153 // ECK0152
fhuC	b0151	fhuC // b0151 // ECK0150
fhuD	b0152	fhuD // b0152 // ECK0151
fhuE	b1102	fhuE // b1102 // ECK1088
fhuF	b4367	fhuF // yjjS // b4367 // ECK4357
fic	b3361	UNCLASSIFIED
fieF	b3915	fieF // yiiP // b3915 // ECK3907
fimA	b4314	fimA // fimD // pilA // b4314 // ECK4305
fimB	b4312	fimB // pil // b4312 // ECK4303
fimC	b4316	fimC // pilB // b4316 // ECK4307
fimD	b4317	fimD // fimD_1 // fimD_2 // b4317 // ECK4308
fimE	b4313	fimE // hyp // pilH // b4313 // ECK4304
fimF	b4318	fimF // b4318 // ECK4309
fimG	b4319	fimG // b4319 // ECK4310
fimH	b4320	fimH // pilE // b4320 // ECK4311
fimI	b4315	fimI // b4315 // ECK4306
fimR2	b4838	UNCLASSIFIED
fimZ	b0535	fimZ // ybcA // b0535 // ECK0528
fis	b3261	fis // nbp // b3261 // ECK3248
fiu	b0805	fiu // ybiL // b0805 // ECK0794
fixA	b0041	fixA // yaaQ // b0041 // ECK0042
fixB	b0042	fixB // yaaR // b0042 // ECK0043
fixC	b0043	fixC // yaaS // b0043 // ECK0044
fixX	b0044	fixX // yaaT // b0044 // ECK0045
fklB	b4207	fklB // ytfC // b4207 // ECK4203
fkpA	b3347	fkpA // yzzS // b3347 // ECK3334
fkpB	b0028	fkpB // slpA // yaaD // b0028 // ECK0029
fldA	b0684	fldA // b0684 // ECK0672
fldB	b2895	fldB // b2895 // ECK2890
flgA	b1072	flgA // flaU // b1072 // ECK1057
flgB	b1073	flgB // flbA // b1073 // ECK1058
flgC	b1074	flgC // flaW // b1074 // ECK1059
flgD	b1075	flgD // flaV // b1075 // ECK1060
flgE	b1076	flgE // flaK // b1076 // ECK1061
flgF	b1077	flgF // flaX // b1077 // ECK1062
flgG	b1078	flgG // flaL // b1078 // ECK1063
flgH	b1079	flgH // flaY // b1079 // ECK1064
flgI	b1080	flgI // flaM // b1080 // ECK1065
flgJ	b1081	flgJ // flaZ // b1081 // ECK1066
flgK	b1082	flgK // flaS // b1082 // ECK1067
flgL	b1083	flgL // flaT // b1083 // ECK1068
flgM	b1071	flgM // b1071 // ECK1056
flgN	b1070	flgN // b1070 // ECK1055
flgO	b4826	UNCLASSIFIED
flhA	b1879	flhA // flaH // b1879 // ECK1880
flhB	b1880	flhB // yecQ // flaG // b1880 // ECK1881
flhC	b1891	flhC // flaI // b1891 // ECK1892
flhD	b1892	flhD // flbB // b1892 // ECK1893
flhE	b1878	UNCLASSIFIED
fliA	b1922	fliA // rpoF // flaD // b1922 // ECK1921
fliC	b1923	fliC // H // flaF // hag // b1923 // ECK1922
fliD	b1924	fliD // flbC // rfs // b1924 // ECK1923
fliE	b1937	fliE // fla // flaAI // flaN // b1937 // ECK1935
fliF	b1938	fliF // flaAII.1 // flaBI // b1938 // ECK1936
fliG	b1939	fliG // flaAII.2 // flaBII // b1939 // ECK1937
fliH	b1940	fliH // flaAII.3 // flaBIII // b1940 // ECK1938
fliI	b1941	fliI // fla // flaAIII // flaC // b1941 // ECK1939
fliJ	b1942	fliJ // flaO // b1942 // ECK1940
fliK	b1943	fliK // flaE // b1943 // ECK1941
fliL	b1944	fliL // flaQI // flaAI // cheC1 // b1944 // ECK1942
fliM	b1945	fliM // flaQ // fla // flaQII // flaAII // flaA // cheC2 // b1945 // ECK1943
fliN	b1946	fliN // motD // b1946 // ECK1944
fliO	b1947	fliO // flbD // b1947 // ECK1945
fliP	b1948	fliP // flaR // b1948 // ECK1946
fliQ	b1949	fliQ // flaQ // b1949 // ECK1947
fliR	b1950	fliR // flaP // b1950 // ECK1948
fliS	b1925	fliS // b1925 // ECK1924
fliT	b1926	fliT // b1926 // ECK1925
fliX	b4827	UNCLASSIFIED
fliZ	b1921	fliZ // yedH // b1921 // ECK1920
flk	b2321	flk // div // b2321 // ECK2315
flu	b2000	flu // agn43 // yzzX // yeeQ // agn // b2000 // ECK1993
flxA	b1566	flxA // b1566 // ECK1560
fmt	b3288	fmt // ftm // yhdD // b3288 // ECK3274
fnr	b1334	fnr // nirA // nirR // ossA // oxrA // b1334 // ECK1330
fnrS	b4699	fnrS // rydA // b4699 // ECK4511
focA	b0904	focA // ycaE // b0904 // ECK0895
focB	b2492	focB // b2492 // ECK2488
folA	b0048	folA // tmr // tmrA // b0048 // ECK0049
folB	b3058	folB // ygiG // b3058 // ECK3048
folC	b2315	folC // dedC // b2315 // ECK2309
folD	b0529	folD // ads // b0529 // ECK0522
folE	b2153	folE // b2153 // ECK2146
folK	b0142	folK // b0142 // ECK0141
folM	b1606	folM // ydgB // b1606 // ECK1601
folP	b3177	folP // dhpS // b3177 // ECK3166
folX	b2303	folX // b2303 // ECK2297
fpr	b3924	fpr // flxR // mvrA // b3924 // ECK3916
frc	b2374	frc // yfdW // b2374 // ECK2370
frdA	b4154	frdA // b4154 // ECK4150
frdB	b4153	frdB // b4153 // ECK4149
frdC	b4152	frdC // b4152 // ECK4148
frdD	b4151	frdD // b4151 // ECK4147
fre	b3844	fre // fadI // flrD // fsrC // b3844 // ECK3836
frlA	b3370	frlA // yhfM // b3370 // ECK3358
frlB	b3371	frlB // yhfN // b3371 // ECK3359
frlC	b4474	frlC // b3373 // yhfP // yhfO // b3372 // b4474 // ECK3360
frlD	b3374	frlD // yhfQ // b3374 // ECK3361
frlR	b3375	frlR // yhfR // b3375 // ECK3362
frmA	b0356	frmA // adhC // b0356 // ECK0353
frmB	b0355	frmB // yaiM // b0355 // ECK0352
frmR	b0357	frmR // yaiN // b0357 // ECK0354
frr	b0172	frr // rrf // b0172 // ECK0171
frsA	b0239	frsA // yafA // b0239 // ECK0240
fruA	b2167	fruA // ptsF // b2167 // ECK2160
fruB	b2169	fruB // fpr // fruF // b2169 // ECK2162
fruK	b2168	fruK // fpk // b2168 // ECK2161
fruL	b0079	fruL // b0079
frvA	b3900	frvA // yiiK // b3900 // ECK3893
frvB	b3899	frvB // yiiJ // b3899 // ECK3892
frvR	b3897	frvR // yiiH // b3897 // ECK3890
frvX	b3898	frvX // yiiI // b3898 // ECK3891
frwB	b3950	frwB // yijK // b3950 // ECK3941
frwC	b3949	frwC // yijJ // b3949 // ECK3940
frwD	b3953	frwD // yijN // b3953 // ECK3944
fryA	b2383	fryA // ypdD // b2383 // ECK2379
fryB	b2387	fryB // ypdH // b2387 // ECK2383
fryC	b2386	fryC // ypdG // b2386 // ECK2382
fsaA	b0825	fsaA // ybiZ // fsa // mipB // b0825 // ECK0815
fsaB	b3946	fsaB // yijG // talC // b3946 // ECK3938
fsr	b0479	fsr // b0479 // ECK0473
ftnA	b1905	ftnA // ftn // gen-165 // rsgA // b1905 // ECK1904
ftnB	b1902	ftnB // yecI // b1902 // ECK1900
ftp	b2214	ftp // yojK // yojL // apbE // b2214 // ECK2206
ftsA	b0094	ftsA // divA // b0094 // ECK0095
ftsB	b2748	ftsB // ygbQ // b2748 // ECK2743
ftsE	b3463	ftsE // b3463 // ECK3447
ftsH	b3178	ftsH // std // hflB // mrsC // tolZ // b3178 // ECK3167
ftsI	b0084	ftsI // pbpB // sep // b0084 // ECK0085
ftsK	b0890	ftsK // dinH // b0890 // ECK0881
ftsL	b0083	ftsL // mraR // yabD // b0083 // ECK0084
ftsN	b3933	ftsN // msgA // b3933 // ECK3925
ftsO	b4810	ftsO // b4810 // ECK4667
ftsP	b3017	ftsP // sui // sufI // b3017 // ECK3008
ftsQ	b0093	ftsQ // b0093 // ECK0094
ftsW	b0089	ftsW // b0089 // ECK0090
ftsX	b3462	ftsX // ftsS // b3462 // ECK3446
ftsY	b3464	ftsY // b3464 // ECK3448
ftsZ	b0095	ftsZ // sfiB // sulB // b0095 // ECK0096
fucA	b2800	fucA // fucC // prd // b2800 // ECK2795
fucI	b2802	fucI // b2802 // ECK2797
fucK	b2803	fucK // b2803 // ECK2798
fucO	b2799	fucO // b2799 // ECK2794
fucP	b2801	fucP // b2801 // ECK2796
fucR	b2805	fucR // b2805 // ECK2800
fucU	b2804	fucU // b2804 // ECK2799
fumA	b1612	fumA // b1612 // ECK1607
fumB	b4122	fumB // b4122 // ECK4115
fumC	b1611	fumC // b1611 // ECK1606
fumD	b1675	fumD // ydhZ // b1675 // ECK1671
fumE	b2929	fumE // yggD // b2929 // ECK2925
fur	b0683	fur // b0683 // ECK0671
fusA	b3340	fusA // far // fus // b3340 // ECK3327
fxsA	b4140	fxsA // yjeG // b4140 // ECK4134
G0-10697		
G0-10698		
G0-10700		
G0-10702		
G0-10703		
G0-10704		
G0-10705		
G0-10706		UNCLASSIFIED
gabD	b2661	gabD // b2661 // ECK2655
gabP	b2663	gabP // b2663 // ECK2657
gabT	b2662	gabT // b2662 // ECK2656
gadA	b3517	gadA // gadS // b3517 // ECK3502
gadB	b1493	gadB // b1493 // ECK1487
gadC	b1492	gadC // acsA // xasA // b1492 // ECK1486
gadE	b3512	gadE // yhiE // yhiT // b3512 // ECK3496
gadF	b4718	UNCLASSIFIED
gadW	b3515	gadW // yhiW // b3515 // ECK3499
